.,Sources,Query,Search engine,Type,Category,Smells induced,nb_smells_induced
S3,https://nosql.mypopescu.com/post/73194475815/anti-patterns-for-developing-with-nosql-databases,Document database antipatterns,Google USA,Blog post/Online article,Blog post/Online article,Data oriented instead of application oriented,1
S4,https://www.linkedin.com/pulse/big-data-anti-patterns-marc-kenig/,Document database antipatterns,Google USA,Blog post/Online article,Blog post/Online article,"No backup budget, Testing queries on the entire ad-hoc big data lake, Querying too much data, Repeated immutable data, Flat raw data, Storage of easily calculated values, Inconsistent attribute structure, Data oriented instead of application oriented, Abusive use of indexes, Human-readable values, Too long document keys, Storage of empty values, Premature sharding",13
S6,https://www.mongodb.com/community/forums/t/advice-for-modeling-a-database-for-multiple-games/112594,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Too many collections,1
S7,https://www.mongodb.com/community/forums/t/best-way-to-store-products-and-its-attributes-information-in-mongodb/130338,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Separating data accessed together,1
S8,https://www.mongodb.com/community/forums/t/bill-of-material-data-modelling/118594/2,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,"Too many collections, Unbound arrays",2
S9,https://www.mongodb.com/community/forums/t/how-build-a-database-that-records-user-preferences-over-lists-of-items/104178/2,Document database antipatterns,MongoDB Forum,Forum post,Discussion,"Data oriented instead of application oriented, Too many collections, Bloated documents, Unbound arrays",4
S10,https://www.mongodb.com/community/forums/t/how-to-store-users-liked-items/98397/2,Document database antipatterns,MongoDB Forum,Forum post,Discussion,Unbound arrays,1
S11,https://www.mongodb.com/community/forums/t/is-it-better-to-make-frequent-read-operations-or-to-pull-all-data-periodically/151429/3,Document database antipatterns,MongoDB Forum,Forum post,Discussion,Unbound arrays,1
S12,https://www.mongodb.com/community/forums/t/looking-for-advice-on-designing-schema-for-performing-efficient-queries/122340/4,Document database antipatterns,MongoDB Forum,Forum post,Discussion,Unbound arrays,1
S13,https://www.mongodb.com/community/forums/t/what-is-the-best-schema-for-a-blog-post-for-storing-the-blog-content-like-share-and-comment/131915/2,Document database antipatterns,MongoDB Forum,Forum post,Discussion,Separating data accessed together,1
S14,https://www.mongodb.com/developer/products/mongodb/performance-tuning-tips/,MongoDB antipatterns,MongoDB website,Blog post/Online article,Blog post/Online article,"Bloated documents, Unbound arrays, Abusive use of indexes",3
S15,https://www.mongodb.com/community/forums/t/data-modeling-for-reward-program/11453/2,Document database antipatterns,MongoDB Forum,Forum post,Discussion,Unbound arrays,1
S16,https://www.mongodb.com/community/forums/t/please-help-me-to-design-the-collection-schema-and-its-scope/151677/2,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Bloated documents,1
S18,https://books.google.fr/books?hl=nl&lr=&id=kzkzEAAAQBAJ&oi=fnd&pg=PT21&dq=mongodb+antipatterns&ots=8U6YrX4-3d&sig=mgTPEUBC-My-nq1E2YmyLolnmJo#v=onepage&q=mongodb%20antipatterns&f=false,MongoDB antipatterns,Google Australia,Book,Book,"Inconsistent attribute structure, Too many collections, Bloated documents, Abusive use of indexes, Unshardable collection",5
S19,http://learnmongodbthehardway.com/schema/sharding/,MongoDB antipatterns,Google Belgium,Book,Book,Monotonically increasing shard key,1
S20,https://books.google.fr/books?hl=nl&lr=&id=wAOEEAAAQBAJ&oi=fnd&pg=PP1&dq=mongodb+antipatterns&ots=VWtKBIdN8u&sig=5IhGU1eVNvJ_JGv19g4s7BqqYkg#v=onepage&q=mongodb%20antipatterns&f=false,MongoDB antipatterns,Google Belgium,Book,Book,"Bloated documents, Unbound arrays, Abusive use of indexes",3
S21,https://devopedia.org/data-modelling-with-mongodb,MongoDB antipatterns,Google Belgium,Blog post/Online article,Blog post/Online article,"Too many collections, Bloated documents, Unbound arrays, Abusive use of indexes, Case-insensitive queries without matching indexes, Separating data accessed together",6
S23,https://livebook.manning.com/book/mongodb-in-action/appendix-b/,MongoDB antipatterns,Google Belgium,Book chapter,Book,"Inconsistent attribute structure, Too many collections, Bloated documents, Abusive use of indexes, Unshardable collection",5
S24,https://medium.com/@ayazhussainbs/mongodb-schema-design-anti-patterns-in-a-nutshell-fbd0dfe0d416,MongoDB antipatterns,Google Belgium,Blog post/Online article,Blog post/Online article,"Too many collections, Bloated documents, Unbound arrays, Abusive use of indexes, Case-insensitive queries without matching indexes, Separating data accessed together",6
S25,https://morioh.com/p/475dc6b60036,MongoDB antipatterns,Google Belgium,Blog post/Online article,Blog post/Online article,"Too many collections, Bloated documents, Unbound arrays, Abusive use of indexes, Case-insensitive queries without matching indexes, Separating data accessed together",6
S27,https://stackoverflow.com/questions/13907673/is-transaction-script-an-antipattern-with-nosql-databases-also,MongoDB antipatterns,Google Belgium,Q&A,Discussion,Querying too much data,1
